 log(size)   row CCS   col CCS   row CRS   col CRS
         1         0         0         0         0
         2         0         0         0         0
         3         0         0         0         0
         4         0         0         0         0
         5         0         0         0         1
         6         1         0         0         1
         7         1         0         0         1
         8         2         0         0         3
         9         4         1         1         5
        10         8         2         2        11
        11        16         3         3        22
        12        32         8         8        44
        13        68        19        19        92
        14       140        40        40       186
        15       281        90        90       373
        16       567       181       181       745
        17      1150       360       364      1700
        18      2955       785       773      3705
        19      8781      4312      5014      9894
        20     19433     11255     11524     22616
